State,Crime Rate,Health Facilities,Police Presence,Hospital Access,Road Condition,Recent Incidents,Risk Level
Adamawa,7936,520,4,2,2,19,High
Cross River,6238,3178,1,4,1,17,High
Ekiti,10044,1535,3,4,5,0,Low
Niger,12475,2752,5,4,5,3,Low
Enugu,3451,807,5,5,5,3,Low
Oyo,2730,2504,1,5,3,11,Medium
Osun,7732,1281,4,5,4,19,High
Imo,1613,905,3,2,4,19,Medium
Katsina,12154,3041,4,4,1,10,High
Kwara,4892,401,4,3,3,0,Low
Ebonyi,14392,3450,3,3,3,15,High
Ondo,12406,3005,1,2,2,9,High
Lagos,8259,3370,3,4,3,19,High
Kebbi,2462,969,4,4,2,15,Medium
Nasarawa,9462,1731,1,2,5,2,Medium
Delta,12625,2275,4,5,2,18,High
Abia,3846,989,2,2,1,1,Low
Gombe,1828,1676,2,3,3,14,Medium
Jigawa,7503,2802,1,2,1,11,High
Imo,10732,2027,2,5,4,17,High
Edo,6640,869,3,3,1,0,Low
Ekiti,1813,867,5,2,2,20,High
Borno,12103,1046,3,5,4,0,Low
Ondo,13784,3343,1,2,4,20,High
Bayelsa,10849,3480,1,3,2,19,High
Niger,6004,3119,3,4,4,11,Medium
Gombe,5128,1093,4,5,3,19,High
Ekiti,10576,619,1,3,5,17,High
Kebbi,10728,2694,3,1,3,15,High
Akwa Ibom,6509,1332,3,3,3,20,High
Kwara,11673,1423,2,5,2,7,Medium
Osun,1930,3499,5,3,4,4,Low
Lagos,1417,2884,4,3,3,13,Medium
Ekiti,7361,3217,1,5,5,6,Medium
Ebonyi,12903,3121,2,4,5,11,High
Jigawa,5918,896,5,3,2,3,Low
Imo,3096,3234,3,2,5,10,Medium
Kebbi,2463,1110,3,3,2,13,Medium
Niger,6428,1722,3,3,5,14,Medium
Ondo,2929,2127,1,5,5,19,Medium
Akwa Ibom,8736,996,5,4,1,16,High
Delta,7768,421,2,2,2,10,Medium
Enugu,10329,2074,2,2,3,2,Medium
Imo,6449,2784,2,1,3,0,Low
Gombe,5481,1057,2,2,5,15,Medium
Niger,13510,3393,1,5,2,13,High
Kebbi,8035,1852,4,4,4,0,Low
Adamawa,9745,1016,3,3,1,16,High
Benue,1293,2971,1,2,2,11,Medium
Delta,3112,620,4,5,5,9,Low
Bayelsa,2069,387,3,4,3,16,Medium
Katsina,9587,1583,4,3,2,15,High
Edo,13289,971,2,1,4,7,High
Borno,12913,737,2,5,1,16,High
Bayelsa,3017,1701,1,3,4,17,High
Katsina,1796,2632,1,1,1,1,Low
Kwara,2897,1907,4,1,4,17,Medium
Cross River,8772,3074,2,1,2,9,High
Enugu,11840,613,5,5,3,19,High
Kwara,3247,1915,1,5,5,3,Low
Delta,2867,3414,1,2,4,19,High
Benue,13746,1277,5,3,2,13,High
Delta,3627,361,5,2,4,15,Medium
Ebonyi,4842,211,1,1,1,18,High
Kogi,9095,810,1,1,5,3,Medium
Osun,5192,2839,2,3,4,8,Medium
Gombe,1820,608,2,3,1,11,Medium
Niger,12088,1480,4,1,1,1,Medium
Abia,14959,766,2,3,3,14,High
Katsina,5395,3202,1,3,3,5,Medium
Anambra,7566,1839,4,4,3,15,Medium
Niger,7909,2857,2,2,1,1,Medium
Ondo,3611,624,4,4,5,18,Medium
Kogi,8178,942,5,3,4,19,High
Abia,12214,3178,2,4,4,3,Medium
Osun,7738,2005,1,3,1,20,High
Ebonyi,1202,3085,5,5,5,7,Low
Kogi,6542,2326,5,1,5,13,Medium
Kogi,12905,1218,4,4,3,4,Medium
Ogun,14540,2486,5,1,1,20,High
Oyo,3571,2270,4,2,4,2,Low
Nasarawa,9055,1513,2,3,3,1,Medium
Jigawa,4648,2454,4,2,4,2,Low
Gombe,8277,3481,5,1,4,15,High
Gombe,6178,686,4,1,1,12,High
Enugu,1587,2482,5,1,1,19,High
Katsina,11445,1447,5,2,5,20,High
Kogi,8474,1596,3,2,1,14,High
Ebonyi,10177,3343,5,4,5,11,Medium
Kwara,8414,667,1,1,2,10,High
Edo,14596,2795,3,5,5,11,High
Kwara,2741,387,2,2,4,13,Medium
Anambra,5166,2702,2,1,2,12,High
Benue,8488,3400,2,1,3,13,High
Adamawa,11375,2953,5,4,1,14,High
Kogi,10655,2265,2,1,4,16,High
Lagos,1795,2466,4,4,5,16,Medium
Nasarawa,3903,3033,5,2,2,3,Low
Ekiti,11772,2659,5,5,3,12,Medium
Enugu,10977,3036,2,4,3,10,Medium
Delta,8419,3496,2,4,2,19,High
Kwara,13262,2298,3,3,5,17,High
Kebbi,4560,1022,2,3,5,11,Medium
Oyo,12016,743,2,5,5,20,High
Ebonyi,12638,672,3,4,5,18,High
Kano,11930,3108,4,3,5,13,High
Niger,1209,2341,1,4,1,4,Low
Adamawa,11981,431,2,2,3,9,High
Kogi,5105,799,1,2,3,17,High
Adamawa,6876,2053,1,5,5,7,Medium
Lagos,11602,2498,4,5,2,9,Medium
Kwara,11887,392,4,4,4,10,Medium
Kaduna,1881,253,3,5,2,14,Medium
Ogun,4695,2795,3,5,5,19,Medium
Benue,13716,3169,2,4,3,5,Medium
Kogi,2220,965,2,1,5,12,Medium
Adamawa,8020,1343,5,2,3,5,Medium
Kano,14861,1244,1,4,3,4,Medium
Adamawa,3518,1521,5,5,1,9,Low
Imo,13941,2545,5,1,3,10,High
Jigawa,4603,953,5,5,1,5,Low
Enugu,9897,2399,4,3,1,7,Medium
Osun,4495,2917,3,3,3,9,Medium
Benue,13331,2732,5,5,4,20,High
Abia,2879,2939,3,2,4,20,High
Katsina,11176,1198,1,4,3,3,Medium
Ekiti,5203,2412,3,5,1,11,Medium
Jigawa,14153,2283,4,1,4,9,High
Osun,11674,988,3,1,5,3,Medium
Bayelsa,13670,2403,5,1,1,6,High
Kogi,11313,3368,2,1,4,6,Medium
Kaduna,14578,3078,4,2,1,0,Medium
Gombe,12745,1558,1,1,1,1,Medium
Bayelsa,14012,1231,5,5,1,7,Medium
Oyo,5237,1869,4,4,4,13,Medium
Ebonyi,1276,1795,1,1,5,20,High
Lagos,11131,459,5,1,1,11,High
Oyo,9238,634,3,5,3,2,Low
Delta,13538,1992,4,1,4,15,High
Bayelsa,9740,1100,2,5,4,9,Medium
Kebbi,3360,1420,3,5,1,17,Medium
Bauchi,3019,371,1,5,5,12,Medium
Kaduna,9970,548,3,3,2,6,Medium
Enugu,11582,2299,2,2,2,7,High
Katsina,14676,1235,2,2,1,18,High
Ondo,1891,3276,5,5,4,2,Low
Delta,12004,475,3,2,1,18,High
Imo,6420,1662,2,1,2,9,Medium
Katsina,2143,992,3,4,4,10,Low
Katsina,11803,1452,5,5,2,18,High
Edo,14233,1495,4,1,2,10,High
Borno,13872,1107,4,3,3,4,Medium
Kogi,13009,1558,4,4,4,11,High
Nasarawa,6004,2194,5,2,1,20,High
Katsina,2343,1349,2,2,5,8,Low
Lagos,11266,513,1,5,1,20,High
Abia,14314,2583,5,5,4,6,Medium
Oyo,1600,2459,3,5,5,15,Medium
Kebbi,13700,808,3,2,4,18,High
Lagos,5767,748,4,5,5,2,Low
Ekiti,6961,2256,1,5,2,5,Medium
Nasarawa,9423,774,4,2,2,18,High
Kano,11803,798,4,1,3,7,Medium
Nasarawa,8989,1149,1,3,3,7,Medium
Adamawa,11954,1046,5,4,3,15,High
Oyo,8448,390,1,1,3,16,High
Kebbi,14592,1320,3,5,5,18,High
Bayelsa,7171,2877,4,5,3,20,High
Osun,14688,518,5,4,3,7,Medium
Jigawa,7649,1645,3,4,4,19,High
Abia,9222,769,4,2,2,2,Medium
Jigawa,11542,1350,2,2,2,5,Medium
Edo,10863,3138,1,4,2,10,High
Lagos,2856,2172,4,2,4,18,Medium
Bayelsa,11604,1883,1,1,2,4,Medium
Kano,10705,859,2,1,5,18,High
Bauchi,1916,881,3,5,2,12,Medium
Katsina,10234,2811,1,1,3,6,Medium
Gombe,10937,2130,4,2,2,13,High
Katsina,3338,3454,5,5,2,16,Medium
Cross River,3747,3166,3,5,4,18,Medium
Akwa Ibom,4765,1749,4,1,2,0,Low
Benue,9564,2265,4,5,2,3,Low
Bayelsa,8796,2718,5,5,1,16,High
Nasarawa,2925,581,4,5,2,17,Medium
Ogun,1019,3373,4,4,5,11,Low
Ondo,1711,3057,5,2,4,15,Medium
Niger,13593,1761,3,5,5,3,Medium
Enugu,3193,1242,4,1,2,9,Medium
Katsina,9908,1873,3,1,2,0,Medium
Kano,9561,682,5,4,1,20,High
Benue,12268,3494,3,3,4,3,Medium
Bauchi,7980,2868,5,3,3,17,High
Enugu,10251,1697,5,4,3,6,Medium
Enugu,10045,3410,5,2,4,11,Medium
Kaduna,10091,2181,3,5,3,11,Medium
Nasarawa,12558,1830,2,2,1,14,High
Niger,12457,862,1,5,2,12,High
Niger,6544,3480,5,1,5,5,Low
Ekiti,11418,221,1,4,2,19,High
Enugu,2444,462,3,3,2,2,Low
Katsina,1618,3167,4,5,4,20,Medium
Jigawa,5693,3114,5,2,1,20,High
Imo,8192,243,2,3,5,6,Medium
Adamawa,13844,2655,5,2,5,19,High
Bayelsa,12043,347,3,1,2,5,Medium
Akwa Ibom,5520,3393,4,4,3,12,Medium
Kano,4281,2320,1,1,1,17,High
Delta,12897,2490,5,3,3,8,Medium
Borno,10934,996,4,5,4,0,Low
Cross River,3867,1867,5,5,1,2,Low
Jigawa,5821,1592,1,3,5,17,High
Ogun,13998,2554,3,4,4,18,High
Imo,13615,1196,3,4,4,18,High
Ondo,1448,2174,1,1,3,12,Medium
Kebbi,13921,1102,2,4,3,11,High
Jigawa,9776,239,3,3,2,2,Medium
Ekiti,12037,3267,3,5,1,5,Medium
Imo,6142,1648,2,3,5,5,Low
Lagos,12192,978,4,2,2,7,Medium
Ondo,5348,1046,2,2,2,19,High
Edo,3555,3390,1,1,1,15,High
Katsina,1108,3330,5,4,1,11,Medium
Katsina,6167,2216,5,4,3,5,Low
Nasarawa,9374,1347,4,5,2,4,Medium
Adamawa,9613,3473,4,5,4,1,Low
Jigawa,6689,1812,2,1,4,16,High
Gombe,6171,3023,1,2,1,12,High
Kano,2650,1532,3,3,5,5,Low
Kaduna,5306,1171,3,5,4,10,Medium
Edo,4013,2242,4,4,2,11,Medium
Edo,14997,1840,3,2,4,18,High
Bauchi,10435,3009,2,3,1,7,Medium
Kaduna,8081,1760,2,2,2,15,High
Niger,1159,923,4,2,4,20,Medium
Jigawa,9748,3151,3,3,4,8,Medium
Kaduna,10303,395,4,2,1,1,Medium
Benue,14333,1241,4,4,1,10,High
Cross River,6914,1675,5,3,5,11,Medium
Abia,7746,696,3,2,5,18,High
Kano,11647,2858,5,3,2,11,High
Ebonyi,12029,2290,4,1,4,12,High
Katsina,5694,2099,2,3,2,13,Medium
Kebbi,11032,2541,4,1,1,5,Medium
Ebonyi,4739,1484,3,3,3,19,High
Kebbi,7479,1311,4,5,3,16,Medium
Gombe,7782,885,2,2,1,7,Medium
Kogi,5122,3246,1,2,2,12,High
Anambra,2565,461,4,1,5,0,Low
Nasarawa,7504,2346,1,3,1,19,High
Bauchi,2381,2882,4,2,3,7,Low
Lagos,5655,2015,2,5,2,5,Low
Abia,1575,2917,3,4,3,14,Medium
Ondo,9856,1315,5,2,4,17,High
Bayelsa,10680,2647,4,4,5,16,High
Kebbi,11478,2386,3,4,3,17,High
Borno,14184,566,4,3,3,13,High
Cross River,3551,1443,1,5,1,4,Low
Edo,5698,2121,5,4,1,15,Medium
Delta,1149,3337,4,5,3,7,Low
Niger,1118,2445,3,4,2,17,Medium
Enugu,7467,1223,2,4,4,7,Medium
Cross River,2297,1929,2,5,5,8,Low
Delta,11624,3243,5,4,3,6,Medium
Ondo,2121,947,2,1,3,20,High
Gombe,11120,2054,3,4,5,6,Medium
Ebonyi,1317,823,1,1,5,5,Low
Anambra,5622,1302,2,1,4,7,Medium
Akwa Ibom,3468,260,4,3,2,13,Medium
Delta,13873,3474,4,4,3,1,Medium
Ebonyi,2314,3274,2,3,1,12,Medium
Akwa Ibom,9899,2125,2,3,2,12,High
Ogun,1206,699,2,4,4,7,Low
Lagos,1549,1015,4,5,1,6,Low
Imo,7375,2991,3,2,3,20,High
Lagos,1691,3250,5,1,5,8,Low
Imo,11461,1423,2,1,3,6,Medium
Anambra,4866,2792,4,1,3,5,Low
Niger,5523,2594,1,2,4,0,Low
Adamawa,10520,3409,4,2,5,11,Medium
Nasarawa,2466,1218,2,1,4,19,High
Ebonyi,13444,2760,1,3,1,20,High
Bauchi,12490,2396,1,4,2,7,High
Ebonyi,10148,3429,3,2,4,0,Low
Kwara,7189,1667,2,1,3,15,High
Kwara,8168,2489,3,4,5,6,Medium
Kano,4057,2426,3,4,3,8,Medium
Ondo,14620,2652,5,1,2,16,High
Bauchi,8362,1411,3,3,5,14,Medium
Abia,13712,2813,5,2,4,0,Medium
Katsina,6965,3378,5,3,2,2,Low
Kogi,9830,1787,2,4,5,17,High
Bauchi,11044,1359,3,3,4,3,Medium
Anambra,9572,2898,1,2,1,5,Medium
Ondo,1512,1027,1,2,4,3,Low
Adamawa,10355,2828,4,5,4,19,High
Kwara,10671,1248,1,2,3,19,High
Kwara,2161,253,2,1,4,14,Medium
Niger,11468,448,3,4,5,11,Medium
Niger,12606,438,5,5,3,1,Low
Lagos,2153,1444,1,5,2,3,Low
Anambra,12881,1146,5,2,4,6,Medium
Jigawa,11762,1218,5,5,2,17,High
Enugu,13224,632,5,4,3,13,High
Osun,2705,883,2,4,5,16,Medium
Ebonyi,11773,847,5,4,5,11,Medium
Osun,6163,2453,3,4,3,20,High
Enugu,14535,3173,3,2,5,18,High
Kaduna,4504,1736,5,3,3,14,Medium
Gombe,7505,200,1,5,3,0,Low
Jigawa,3213,1436,1,2,3,6,Medium
Ondo,6159,288,3,5,5,17,Medium
Kano,10365,833,1,4,1,11,High
Bauchi,3267,1285,3,2,5,7,Low
Cross River,14288,1430,1,4,5,18,High
Oyo,4562,3207,1,4,3,5,Low
Imo,14528,3024,5,5,1,20,High
Delta,1612,3193,5,1,4,1,Low
Oyo,13630,1569,3,4,4,3,Medium
Ondo,13622,1128,5,4,1,1,Medium
Delta,9591,368,3,5,5,4,Low
Ebonyi,9231,3058,2,1,2,12,High
Gombe,13334,2637,5,1,5,7,Medium
Enugu,5747,3420,4,2,2,10,Medium
Akwa Ibom,8796,2540,1,4,5,8,Medium
Akwa Ibom,7529,2255,4,2,2,15,High
Kaduna,4245,2198,4,2,5,17,Medium
Katsina,13053,2347,2,1,2,8,High
Nasarawa,8046,1524,5,1,1,13,High
Enugu,6984,1626,2,3,3,19,High
Kebbi,1396,3352,3,3,2,19,High
Ogun,14153,2011,5,4,2,1,Medium
Oyo,14404,1156,2,2,3,2,Medium
Anambra,13117,423,2,2,5,9,High
Abia,6624,3041,1,4,3,15,High
Abia,6437,1056,5,2,2,17,High
Jigawa,13293,1259,5,5,4,4,Medium
Kwara,12448,2937,1,5,4,16,High
Adamawa,5185,897,1,2,3,19,High
Cross River,1869,2104,1,4,1,8,Medium
Kogi,14960,2903,3,1,1,9,High
Ondo,11639,1783,2,5,4,3,Medium
Osun,6168,2185,5,1,5,5,Low
Benue,9202,2075,5,1,1,7,Medium
Oyo,9673,1448,3,4,4,5,Medium
Abia,6681,3002,3,3,3,7,Medium
Jigawa,5519,453,3,1,4,17,High
Cross River,4695,821,3,2,4,2,Low
Lagos,7262,2332,5,4,2,7,Medium
Kano,3502,1946,3,3,5,14,Medium
Kaduna,3158,1046,2,5,5,6,Low
Ondo,3262,1465,5,4,2,4,Low
Kebbi,10254,847,3,5,1,17,High
Lagos,2939,954,3,1,2,10,Medium
Osun,7783,1884,3,3,4,4,Low
Nasarawa,4079,637,2,1,2,19,High
Katsina,5372,2680,5,2,5,19,High
Borno,4783,3015,1,1,3,15,High
Bauchi,9230,2676,4,2,3,12,High
Imo,8763,763,2,2,2,1,Medium
Enugu,13526,261,3,2,4,6,Medium
Nasarawa,4351,470,2,5,4,15,Medium
Kwara,6323,2074,2,4,4,1,Low
Katsina,13047,1758,3,5,4,18,High
Katsina,9784,2351,1,1,5,14,High
Gombe,14549,373,2,5,5,12,High
Lagos,1643,2484,4,1,5,6,Low
Delta,8201,1830,3,4,3,5,Medium
Enugu,5823,2711,1,2,5,14,Medium
Ogun,11585,2050,1,1,5,5,Medium
Nasarawa,10591,3051,5,4,2,13,High
Ebonyi,8387,302,2,5,4,6,Medium
Osun,8449,569,3,2,3,3,Medium
Akwa Ibom,2870,3092,4,1,3,16,Medium
Kwara,7292,3177,5,2,5,12,Medium
Kaduna,7235,379,2,5,3,4,Low
Bayelsa,3369,932,1,3,4,9,Medium
Lagos,13593,2027,3,1,2,4,Medium
Benue,1057,2750,3,4,1,15,Medium
Ondo,9169,2426,1,4,5,7,Medium
Benue,10647,2901,4,4,4,14,High
Akwa Ibom,10850,2658,1,5,2,8,Medium
Katsina,11299,2483,2,2,1,4,Medium
Adamawa,11703,1629,1,1,2,18,High
Ogun,10884,1422,3,1,1,3,Medium
Enugu,3920,860,3,5,5,18,Medium
Niger,10210,926,4,3,5,1,Low
Akwa Ibom,13591,1425,3,4,3,2,Medium
Nasarawa,8001,2454,1,4,3,4,Medium
Anambra,12380,1324,3,4,5,16,High
Benue,12400,1056,5,1,1,18,High
Lagos,11305,2366,1,5,4,9,Medium
Enugu,10975,1496,3,5,5,19,High
Edo,3125,2716,5,5,4,20,Medium
Imo,9069,936,5,3,2,6,Medium
Abia,2936,298,4,2,1,19,High
Enugu,7783,386,3,5,3,20,High
Benue,1185,2823,2,3,3,2,Low
Delta,5919,2275,5,1,3,3,Low
Kogi,6460,1598,4,5,5,0,Low
Ogun,3877,994,3,4,3,15,Medium
Niger,1582,2844,2,2,4,20,High
Gombe,9797,1572,4,1,4,16,High
Delta,10256,3169,3,5,5,0,Low
Benue,10460,3007,3,1,3,4,Medium
Cross River,14774,327,3,5,4,5,Medium
Kano,10923,1795,2,1,5,9,Medium
Kwara,6152,3107,1,4,3,2,Low
Imo,4893,1722,4,2,3,16,Medium
Delta,3867,659,3,2,1,2,Low
Gombe,9290,302,4,2,5,6,Medium
Ebonyi,8921,3200,5,3,3,4,Low
Nasarawa,2609,2314,2,1,2,14,Medium
Ekiti,12692,2339,1,3,1,1,Medium
Kogi,14895,2634,1,4,3,1,Medium
Anambra,9529,3338,3,5,1,9,Medium
Kebbi,4438,1514,2,3,2,8,Medium
Kaduna,6228,3365,4,3,1,4,Medium
Bayelsa,5483,668,1,5,5,16,Medium
Anambra,4384,2422,3,3,5,8,Low
Bauchi,12540,3493,3,2,5,5,Medium
Akwa Ibom,6101,2711,3,4,5,1,Low
Bauchi,1475,2128,1,4,1,1,Low
Akwa Ibom,7987,1805,2,5,5,20,High
Ogun,12307,3064,4,3,5,9,Medium
Ebonyi,14392,1011,5,4,1,18,High
Bauchi,2522,3486,4,4,1,9,Medium
Kogi,11558,3109,4,2,4,7,Medium
Bauchi,11107,1256,3,2,4,10,High
Niger,6320,2056,4,1,1,15,High
Anambra,6758,2160,4,3,2,11,Medium
Katsina,10415,721,5,4,1,3,Medium
Ebonyi,10111,2860,1,5,3,14,High
Ekiti,10675,1893,2,2,5,17,High
Bayelsa,8903,1772,1,2,3,18,High
Enugu,13850,1983,5,5,3,7,Medium
Bayelsa,11856,2942,1,4,5,3,Medium
Kano,10766,2096,3,1,5,14,High
Bayelsa,6046,1862,1,1,5,19,High
Nasarawa,14432,1752,3,1,4,2,Medium
Benue,14386,769,5,2,1,4,Medium
Gombe,9704,1393,4,5,5,14,Medium
Benue,4369,2991,3,5,3,9,Medium
Oyo,8122,3140,3,5,1,0,Low
Katsina,9362,1855,2,1,3,11,High
Osun,9992,417,1,3,5,3,Medium
Ondo,5623,327,2,5,4,12,Medium
Kebbi,6212,3115,4,4,4,13,Medium
Kaduna,4460,2913,2,2,4,6,Medium
Kaduna,7301,1675,4,3,2,4,Medium
Bauchi,1190,493,1,4,2,13,Medium
Bauchi,2387,762,4,5,4,13,Medium
Katsina,3945,2061,5,5,4,14,Medium
Ekiti,6821,1124,2,5,4,0,Low
Kano,9161,3193,2,3,5,13,High
Oyo,9948,2560,3,1,1,18,High
Imo,12548,1709,1,4,5,2,Medium
Bauchi,12963,3195,5,4,3,16,High
Akwa Ibom,9574,2698,1,4,2,20,High
Lagos,11874,2939,1,5,5,9,Medium
Katsina,1864,1607,5,4,1,14,Medium
Jigawa,8687,2550,3,3,4,9,Medium
Delta,3744,344,5,5,3,8,Low
Adamawa,11310,2138,5,5,2,1,Low
Kogi,5780,3220,5,3,1,15,Medium
Akwa Ibom,3077,2270,1,3,3,4,Low
Katsina,5603,1327,3,1,1,19,High
Bayelsa,10695,3226,2,3,4,5,Medium
Cross River,13820,3070,2,2,4,16,High
Ondo,1542,1604,1,5,2,4,Low
Ogun,9125,3283,4,2,4,14,High
Lagos,11446,885,2,3,5,1,Medium
Kebbi,5331,3294,1,2,1,14,High
Ekiti,8802,1434,4,2,5,12,Medium
Kogi,12560,1797,4,2,3,16,High
Ondo,8122,248,3,4,4,10,Medium
Jigawa,12188,368,1,3,5,13,High
Katsina,11683,1316,3,3,3,3,Medium
Cross River,11720,2592,4,2,4,18,High
Nasarawa,4193,2329,3,3,2,17,High
Abia,12023,234,1,4,1,3,Medium
Jigawa,2702,3007,4,2,3,9,Medium
Cross River,4163,339,1,1,5,1,Low
Katsina,11757,1088,5,1,1,2,Medium
Ondo,10907,732,4,2,5,3,Medium
Kwara,4018,1237,3,1,4,20,High
Gombe,5528,3351,4,3,3,5,Low
Nasarawa,2212,1335,1,4,4,10,Medium
Adamawa,5230,1284,2,1,4,15,High
Oyo,4287,2699,4,4,2,3,Low
Bauchi,9857,3348,4,5,2,20,High
Anambra,8234,3130,3,1,1,2,Medium
Akwa Ibom,10360,3180,3,1,4,15,High
Bauchi,11696,2822,1,4,1,8,High
Bauchi,12469,1550,4,1,5,16,High
Kwara,13631,2209,4,4,4,2,Medium
Kaduna,4700,213,4,1,4,18,High
Kaduna,6880,1565,3,1,4,20,High
Kebbi,2485,1696,5,1,3,14,Medium
Nasarawa,13558,1387,2,5,2,1,Medium
Ekiti,11825,982,3,1,4,20,High
Kwara,6886,2192,1,2,4,4,Medium
Adamawa,4163,303,5,4,2,12,Medium
Akwa Ibom,13988,2414,3,5,4,14,High
Abia,1606,1589,1,1,3,12,Medium
Anambra,4468,2878,5,5,4,4,Low
Lagos,10492,1154,1,2,1,15,High
Kebbi,1312,2130,5,2,1,20,High
Bauchi,1235,905,1,1,3,14,Medium
Katsina,3796,2620,1,1,1,15,High
Katsina,14093,2721,2,2,1,13,High
Ebonyi,14295,3222,4,1,3,18,High
Kaduna,3250,1517,2,5,1,5,Low
Ebonyi,2035,694,3,4,2,5,Low
Kwara,7060,2466,2,2,4,18,High
Adamawa,3185,609,5,2,4,0,Low
Osun,8978,530,1,2,1,2,Medium
Kwara,11678,2631,3,4,4,4,Medium
Benue,3344,2820,3,4,5,13,Medium
Borno,3859,2700,1,2,5,15,Medium
Katsina,2442,2768,3,4,3,0,Low
Kaduna,4860,986,1,1,5,19,High
Edo,13470,2410,5,4,2,20,High
Kogi,4409,1332,1,1,2,4,Medium
Kogi,14824,2143,4,2,2,1,Medium
Adamawa,11565,1691,3,4,2,8,Medium
Ebonyi,11105,3497,4,1,1,1,Medium
Oyo,9804,920,2,4,1,16,High
Anambra,2160,1163,4,5,5,10,Low
Enugu,4256,3260,3,1,2,10,Medium
Borno,2606,1171,4,4,2,7,Low
Akwa Ibom,8716,2596,4,4,1,4,Medium
Benue,10984,2063,2,3,4,4,Medium
Gombe,12793,995,3,2,3,10,High
Bauchi,1525,3035,5,3,1,4,Low
Anambra,14953,2106,4,2,4,10,High
Borno,5835,2672,2,2,5,18,High
Kaduna,4763,554,4,4,5,6,Low
Kano,8757,2095,3,4,1,7,Medium
Borno,6362,1978,5,5,2,4,Low
Oyo,10399,220,4,1,1,15,High
Lagos,13592,2265,1,5,4,12,High
Imo,14266,3468,1,4,4,7,High
Akwa Ibom,10150,3284,1,2,4,4,Medium
Edo,5846,1179,1,4,1,9,Medium
Bayelsa,12522,2081,5,1,5,14,High
Gombe,13645,767,4,3,2,20,High
Gombe,12532,2794,1,4,1,10,High
Jigawa,1535,1414,4,5,3,17,Medium
Kano,14016,1048,1,3,5,1,Medium
Jigawa,12053,1690,1,4,1,11,High
Gombe,11143,367,3,2,3,20,High
Kaduna,12548,474,5,2,2,10,High
Borno,9841,665,4,2,5,7,Medium
Ebonyi,6778,1295,5,3,4,1,Low
Akwa Ibom,7108,1614,4,5,4,16,Medium
Ogun,3010,2125,5,3,5,14,Medium
Katsina,7031,3476,1,4,2,2,Medium
Akwa Ibom,7400,932,3,1,1,5,Medium
Cross River,2835,3055,2,2,4,6,Low
Jigawa,11277,292,3,5,4,4,Medium
Imo,6680,1920,4,3,1,6,Medium
Akwa Ibom,1361,3484,2,3,5,13,Medium
Kano,6616,2885,3,5,4,16,Medium
Ogun,9986,2023,4,5,3,4,Low
Osun,13932,1455,2,2,3,15,High
Edo,5720,3352,1,3,2,9,Medium
Gombe,3725,2733,2,3,5,5,Low
Bayelsa,14751,3100,2,2,2,3,Medium
Adamawa,6187,2553,2,3,4,11,Medium
Bayelsa,4361,2503,1,3,3,4,Low
Edo,8347,2411,2,3,5,3,Low
Oyo,1408,1857,4,4,2,10,Low
Bauchi,1070,3224,5,3,5,20,Medium
Kwara,5842,2141,3,2,5,18,High
Lagos,8243,1587,1,1,4,4,Medium
Kogi,10026,678,3,4,1,19,High
Ogun,4610,2026,3,3,1,1,Low
Katsina,11507,999,5,2,5,8,Medium
Benue,1369,542,5,1,4,16,Medium
Ekiti,4185,2208,3,5,5,16,Medium
Adamawa,11924,1678,4,4,2,11,High
Ekiti,7108,249,3,3,3,9,Medium
Gombe,10191,558,2,4,4,14,High
Delta,3683,3500,4,2,4,18,Medium
Katsina,2410,788,2,4,3,16,Medium
Ebonyi,2083,2619,4,1,1,13,Medium
Kebbi,5478,1897,2,4,5,18,High
Nasarawa,3243,1016,2,3,4,17,Medium
Imo,1691,1436,5,4,3,17,Medium
Lagos,8593,1119,1,2,1,8,High
Delta,11494,2807,4,3,1,13,High
Bayelsa,9059,3017,2,1,1,8,High
Imo,2093,2653,3,4,5,18,Medium
Enugu,5225,2772,4,3,1,16,High
Lagos,10425,271,3,5,2,1,Low
Bauchi,6237,2088,2,2,3,1,Low
Cross River,6917,1918,3,3,1,9,Medium
Jigawa,11468,514,5,2,2,3,Medium
Katsina,13331,884,5,3,3,9,Medium
Cross River,12230,3058,3,5,1,18,High
Edo,14489,788,1,5,2,9,High
Edo,13759,2186,4,2,3,3,Medium
Benue,3532,2261,2,5,2,19,High
Kwara,14621,2353,5,1,5,13,High
Gombe,2251,677,2,4,1,11,Medium
Delta,12322,1685,2,5,4,16,High
Nasarawa,6604,905,3,1,1,7,Medium
Bauchi,12374,783,2,2,3,6,Medium
Bauchi,2287,1940,1,1,1,15,High
Nasarawa,8065,374,2,1,1,16,High
Kano,1971,2121,1,1,3,2,Low
Delta,11937,242,1,5,1,6,Medium
Kano,4277,956,3,1,1,4,Medium
Ondo,13225,1336,5,3,3,5,Medium
Ondo,9202,3398,5,5,2,18,High
Akwa Ibom,2623,2568,1,2,5,6,Low
Delta,3814,3288,5,1,1,6,Medium
Oyo,9260,3098,4,5,3,5,Medium
Gombe,12035,639,2,4,3,13,High
Benue,9425,1132,4,3,1,3,Medium
Gombe,2807,2328,2,3,4,9,Medium
Kaduna,12831,366,1,4,3,3,Medium
Ekiti,5646,2071,5,4,3,7,Low
Kaduna,7672,1390,4,1,2,15,High
Kogi,7020,934,1,1,4,12,High
Gombe,9563,2897,1,2,1,12,High
Ekiti,12387,2618,1,1,2,11,High
Benue,6548,1020,5,1,4,7,Medium
